ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.65,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.7,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.75,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.8,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.75,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.7,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.75,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.8,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.85,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,20 ,INGAnnuïteitenhypotheek,2.9,75,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.89,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.94,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.99,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,2.04,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,2.24,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,2.94,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.92,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.97,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,2.02,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,2.07,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,2.27,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,2.97,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.94,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.99,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,2.04,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,2.09,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,2.29,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,2.99,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,2.0,80,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,2.05,85,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,2.1,90,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,2.15,95,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,2.35,101,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,3.05,,101,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,2.04,80,,2017-10-22
